ID_Elemento;Nombre;Manzana_Bloque;Tipologia;Area_m2;Dimensiones;Precio_S/;Distancia_Oasis_m;Distancia_Cochera_m;Estado
L067;Lote 67;M8;Lote Tiny House;115,71;12.07m x 9.63m;13885;68;105;Disponible
L068;Lote 68;M8;Lote Tiny House;115,75;12.08m x 9.67m;13890;68;117;Disponible
L069;Lote 69;M8;Lote Tiny House;115,91;12.08m x 9.68m;13909;68;129;Disponible
L070;Lote 70;M8;Lote Tiny House;116,06;12.08m x 9.70m;13927;68;141;Disponible
L071;Lote 71;M8;Lote Tiny House;116,22;12.08m x 9.71m;13946;68;145;Disponible
L072;Lote 72;M8;Lote Tiny House;116,38;12.08m x 9.72m;6983;68;145;En Oferta
L073;Lote 73;M8;Lote Tiny House;116,54;12.08m x 9.74m;13985;68;145;Disponible
L074;Lote 74;M8;Lote Tiny House;116,69;12.08m x 9.75m;14003;68;145;Disponible
L075;Lote 75;M8;Lote Tiny House;116,85;12.08m x 9.76m;14022;68;145;Disponible
L076;Lote 76;M8;Lote Tiny House;117,01;12.08m x 9.77m;14041;68;133;Disponible
L077;Lote 77;M8;Lote Tiny House;115,79;12.07m x 9.63m;6947;58;106;En Oferta
L078;Lote 78;M8;Lote Tiny House;115,78;12.08m x 9.67m;13894;58;118;Disponible
L079;Lote 79;M8;Lote Tiny House;115,94;12.08m x 9.68m;13913;58;129;Disponible
L080;Lote 80;M8;Lote Tiny House;116,09;12.08m x 9.70m;6965;58;141;En Oferta
L081;Lote 81;M8;Lote Tiny House;116,25;12.08m x 9.71m;13950;58;145;Separado
L082;Lote 82;M8;Lote Tiny House;116,41;12.08m x 9.72m;6985;58;145;En Oferta
L083;Lote 83;M8;Lote Tiny House;116,57;12.08m x 9.74m;13988;58;145;Disponible
L084;Lote 84;M8;Lote Tiny House;116,72;12.08m x 9.75m;14006;59;145;Disponible
L085;Lote 85;M8;Lote Tiny House;116,88;12.08m x 9.76m;14026;59;145;Disponible
L086;Lote 86;M8;Lote Tiny House;117,03;12.08m x 9.77m;14044;59;133;Disponible
L087;Lote 87;M9;Lote Tiny House;121,33;12.56m x 9.76m;14560;67;116;Disponible
L088;Lote 88;M9;Lote Tiny House;120,26;12.56m x 9.71m;14431;66;103;Disponible
L089;Lote 89;M9;Lote Tiny House;119,58;12.56m x 9.64m;14350;66;91;Disponible
L090;Lote 90;M9;Lote Tiny House;119,16;12.56m x 9.60m;14299;65;78;Disponible
L091;Lote 91;M9;Lote Tiny House;119,20;12.58m x 9.57m;14304;65;65;Disponible
L092;Lote 92;M9;Lote Tiny House;119,46;12.58m x 9.58m;14335;66;53;Disponible
L093;Lote 93;M9;Lote Tiny House;120,07;12.58m x 9.61m;14408;66;40;Disponible
L094;Lote 94;M9;Lote Tiny House;120,97;12.58m x 9.67m;14516;67;28;Disponible
L095;Lote 95;M9;Lote Tiny House;122,11;12.58m x 9.75m;14653;68;15;Disponible
L096;Lote 96;M9;Lote Tiny House;121,31;12.56m x 9.76m;14557;58;116;Disponible
L097;Lote 97;M9;Lote Tiny House;120,19;12.57m x 9.71m;14423;57;103;Disponible
L098;Lote 98;M9;Lote Tiny House;119,53;12.57m x 9.64m;14344;56;91;Disponible
L099;Lote 99;M9;Lote Tiny House;119,16;12.57m x 9.60m;14299;56;78;Vendido
L100;Lote 100;M9;Lote Tiny House;119,23;12.58m x 9.57m;14308;56;65;Disponible
L101;Lote 101;M9;Lote Tiny House;119,53;12.58m x 9.58m;14344;56;53;Disponible
L102;Lote 102;M9;Lote Tiny House;120,16;12.58m x 9.61m;14419;57;40;Disponible
L103;Lote 103;M9;Lote Tiny House;121,08;12.58m x 9.67m;14530;57;28;Disponible
L104;Lote 104;M9;Lote Tiny House;122,23;12.58m x 9.75m;14668;58;15;Disponible
L105;Lote 105;M10;Lote Tiny House;224,59;12.17m x 18.75m;26951;33;33;Disponible
L106;Lote 106;M10;Lote Tiny House;224,25;12.17m x 18.67m;26910;33;42;Disponible
L107;Lote 107;M10;Lote Tiny House;224,50;12.17m x 18.64m;26940;33;52;Disponible
L108;Lote 108;M10;Lote Tiny House;225,79;12.19m x 18.66m;27095;33;64;Disponible
L109;Lote 109;M10;Lote Tiny House;227,19;12.19m x 18.74m;27263;33;75;Disponible
L110;Lote 110;M10;Lote Tiny House;229,04;12.19m x 18.86m;27485;34;87;Disponible
L111;Lote 111;M10;Lote Tiny House;231,24;12.19m x 19.02m;27749;34;97;Disponible
L112;Lote 112;M11;Lote Tiny House;231,90;12.08m x 19.26m;27828;36;112;Disponible
L113;Lote 113;M11;Lote Tiny House;231,69;12.08m x 19.34m;27803;35;123;Disponible
L114;Lote 114;M11;Lote Tiny House;232,00;12.08m x 19.37m;27840;35;134;Disponible
L115;Lote 115;M11;Lote Tiny House;232,32;12.08m x 19.39m;27878;36;145;Disponible
L116;Lote 116;M11;Lote Tiny House;232,63;12.08m x 19.42m;27916;36;145;Disponible
L117;Lote 117;M11;Lote Tiny House;232,95;12.08m x 19.45m;27954;36;145;Disponible
L118;Lote 118;M11;Lote Tiny House;233,26;12.08m x 19.47m;27991;36;145;Disponible
L119;Lote 119;M11;Lote Tiny House;233,58;12.08m x 19.50m;28030;36;145;Disponible
L120;Lote 120;M11;Lote Tiny House;233,89;12.08m x 19.52m;28067;36;145;Disponible
L121;Lote 121;M11;Lote Tiny House;234,20;12.08m x 19.55m;28104;36;133;Disponible
L122;Lote 122;M12;Lote Tiny House;242,51;12.57m x 19.53m;29101;35;116;Disponible
L123;Lote 123;M12;Lote Tiny House;240,04;12.58m x 19.42m;28805;34;103;Disponible
L124;Lote 124;M12;Lote Tiny House;238,87;12.58m x 19.29m;28664;34;91;Disponible
