ID_Elemento;Nombre;Manzana_Bloque;Tipologia;Area_m2;Dimensiones;Precio_S/;Distancia_Oasis_m;Distancia_Cochera_m;Estado
L285;Lote 285;M27;Lote Estándar;168,70;12.60m x 13.48m;20244;91;28;Disponible
L286;Lote 286;M27;Lote Estándar;169,50;12.60m x 13.55m;20340;91;15;Disponible
L287;Lote 287;M28;Lote Ajuste (Irregular);229,76;12.21m x 18.93m;27571;114;16;Disponible
L288;Lote 288;M28;Lote Ajuste (Irregular);229,41;12.21m x 18.91m;27529;113;28;Disponible
L289;Lote 289;M28;Lote Ajuste (Irregular);229,34;12.21m x 18.90m;27521;112;40;Disponible
L290;Lote 290;M28;Lote Ajuste (Irregular);230,05;12.23m x 18.93m;27606;112;52;Disponible
L291;Lote 291;M28;Lote Ajuste (Irregular);230,65;12.23m x 18.98m;27678;112;65;Disponible
L292;Lote 292;M28;Lote Ajuste (Irregular);231,55;12.23m x 19.05m;27786;112;76;Separado
L293;Lote 293;M28;Lote Ajuste (Irregular);232,70;12.23m x 19.15m;27924;113;88;Disponible
L294;Lote 294;M29;Lote Ajuste (Irregular);232,41;12.12m x 19.29m;27889;115;105;Disponible
L295;Lote 295;M29;Lote Ajuste (Irregular);233,04;12.12m x 19.34m;27965;116;117;Disponible
L296;Lote 296;M29;Lote Ajuste (Irregular);233,35;12.12m x 19.37m;28002;118;129;Disponible
L297;Lote 297;M29;Lote Ajuste (Irregular);233,66;12.12m x 19.39m;28039;118;141;Disponible
L298;Lote 298;M29;Lote Ajuste (Irregular);233,97;12.12m x 19.42m;28076;118;145;Disponible
L299;Lote 299;M29;Lote Ajuste (Irregular);234,30;12.12m x 19.45m;28116;118;145;Disponible
L300;Lote 300;M29;Lote Ajuste (Irregular);234,61;12.12m x 19.47m;28153;118;145;Disponible
L301;Lote 301;M29;Lote Ajuste (Irregular);234,92;12.12m x 19.50m;28190;118;145;Disponible
L302;Lote 302;M29;Lote Ajuste (Irregular);235,23;12.12m x 19.52m;28228;119;145;Disponible
L303;Lote 303;M29;Lote Ajuste (Irregular);235,55;12.12m x 19.55m;28266;119;134;Disponible
L304;Lote 304;M30;Lote Ajuste (Irregular);245,03;12.59m x 19.55m;29404;119;116;Disponible
L305;Lote 305;M30;Lote Ajuste (Irregular);244,36;12.59m x 19.51m;29323;118;104;Disponible
L306;Lote 306;M30;Lote Ajuste (Irregular);243,66;12.59m x 19.46m;29239;117;91;Disponible
L307;Lote 307;M30;Lote Ajuste (Irregular);243,19;12.59m x 19.42m;29183;116;79;Disponible
L308;Lote 308;M30;Lote Ajuste (Irregular);243,28;12.61m x 19.41m;29194;115;66;Disponible
L309;Lote 309;M30;Lote Ajuste (Irregular);243,49;12.61m x 19.42m;29219;115;53;Disponible
L310;Lote 310;M30;Lote Ajuste (Irregular);244,06;12.61m x 19.47m;29287;115;41;Disponible
L311;Lote 311;M30;Lote Ajuste (Irregular);244,98;12.61m x 19.55m;29398;115;28;Disponible
L312;Lote 312;M30;Lote Ajuste (Irregular);246,20;12.61m x 19.64m;29544;116;16;Disponible
P001;P1;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P002;P2;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P003;P3;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P004;P4;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P005;P5;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P006;P6;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P007;P7;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P008;P8;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P009;P9;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P010;P10;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P011;P11;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P012;P12;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P013;P13;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P014;P14;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P015;P15;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P016;P16;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P017;P17;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P018;P18;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P019;P19;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P020;P20;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P021;P21;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P022;P22;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P023;P23;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P024;P24;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P025;P25;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P026;P26;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P027;P27;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P028;P28;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P029;P29;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P030;P30;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P031;P31;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P032;P32;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P033;P33;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P034;P34;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P035;P35;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P036;P36;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P037;P37;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P038;P38;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P039;P39;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P040;P40;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P041;P41;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P042;P42;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P043;P43;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P044;P44;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P045;P45;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P046;P46;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P047;P47;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P048;P48;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P049;P49;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P050;P50;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P051;P51;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P052;P52;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P053;P53;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P054;P54;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P055;P55;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P056;P56;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P057;P57;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P058;P58;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P059;P59;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P060;P60;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P061;P61;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P062;P62;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P063;P63;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P064;P64;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P065;P65;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P066;P66;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P067;P67;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P068;P68;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P069;P69;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P070;P70;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P071;P71;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P072;P72;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P073;P73;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P074;P74;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P075;P75;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P076;P76;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P077;P77;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P078;P78;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P079;P79;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P080;P80;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P081;P81;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P082;P82;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P083;P83;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P084;P84;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P085;P85;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P086;P86;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P087;P87;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P088;P88;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P089;P89;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P090;P90;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P091;P91;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P092;P92;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P093;P93;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P094;P94;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P095;P95;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P096;P96;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P097;P97;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P098;P98;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P099;P99;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P100;P100;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P101;P101;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P102;P102;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P103;P103;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P104;P104;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P105;P105;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P106;P106;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P107;P107;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P108;P108;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P109;P109;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P110;P110;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P111;P111;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P112;P112;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P113;P113;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P114;P114;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P115;P115;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P116;P116;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P117;P117;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P118;P118;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P119;P119;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P120;P120;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P121;P121;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P122;P122;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P123;P123;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P124;P124;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P125;P125;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P126;P126;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P127;P127;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P128;P128;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P129;P129;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P130;P130;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P131;P131;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P132;P132;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P133;P133;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P134;P134;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P135;P135;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P136;P136;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P137;P137;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
P138;P138;PARKING;Cochera Plus;12,50;2.5m x 5.0m;5000;50;0;Disponible
