Manzana;Numero de Lote;Area (m2);Tipologia;Precio (S/);Distancia Oasis (m);Distancia Cochera (m);Estado
M9;Lote 94;120,97;Lote Tiny House;14516;67;28;Disponible
M9;Lote 95;122,11;Lote Tiny House;14653;68;15;Disponible
M9;Lote 96;121,31;Lote Tiny House;14557;58;116;Disponible
M9;Lote 97;120,19;Lote Tiny House;14423;57;103;Disponible
M9;Lote 98;119,53;Lote Tiny House;14344;56;91;Disponible
M9;Lote 99;119,16;Lote Tiny House;14299;56;78;Vendido
M9;Lote 100;119,23;Lote Tiny House;14308;56;65;Disponible
M9;Lote 101;119,53;Lote Tiny House;14344;56;53;Disponible
M9;Lote 102;120,16;Lote Tiny House;14419;57;40;Disponible
M9;Lote 103;121,08;Lote Tiny House;14530;57;28;Disponible
M9;Lote 104;122,23;Lote Tiny House;14668;58;15;Disponible
M10;Lote 105;224,59;Lote Tiny House;26951;33;33;Disponible
M10;Lote 106;224,25;Lote Tiny House;26910;33;42;Disponible
M10;Lote 107;224,50;Lote Tiny House;26940;33;52;Disponible
M10;Lote 108;225,79;Lote Tiny House;27095;33;64;Disponible
M10;Lote 109;227,19;Lote Tiny House;27263;33;75;Disponible
M10;Lote 110;229,04;Lote Tiny House;27485;34;87;Disponible
M10;Lote 111;231,24;Lote Tiny House;27749;34;97;Disponible
M11;Lote 112;231,90;Lote Tiny House;27828;36;112;Disponible
M11;Lote 113;231,69;Lote Tiny House;27803;35;123;Disponible
M11;Lote 114;232,00;Lote Tiny House;27840;35;134;Disponible
M11;Lote 115;232,32;Lote Tiny House;27878;36;145;Disponible
M11;Lote 116;232,63;Lote Tiny House;27916;36;145;Disponible
M11;Lote 117;232,95;Lote Tiny House;27954;36;145;Disponible
M11;Lote 118;233,26;Lote Tiny House;27991;36;145;Disponible
M11;Lote 119;233,58;Lote Tiny House;28030;36;145;Disponible
M11;Lote 120;233,89;Lote Tiny House;28067;36;145;Disponible
M11;Lote 121;234,20;Lote Tiny House;28104;36;133;Disponible
M12;Lote 122;242,51;Lote Tiny House;29101;35;116;Disponible
M12;Lote 123;240,04;Lote Tiny House;28805;34;103;Disponible
M12;Lote 124;238,87;Lote Tiny House;28664;34;91;Disponible
M12;Lote 125;238,29;Lote Tiny House;28595;34;79;Disponible
M12;Lote 126;238,63;Lote Tiny House;28636;33;66;Separado
M12;Lote 127;239,39;Lote Tiny House;28727;34;53;Disponible
M12;Lote 128;240,78;Lote Tiny House;28894;34;41;Disponible
M12;Lote 129;242,69;Lote Tiny House;29123;35;28;Disponible
M12;Lote 130;245,02;Lote Tiny House;29402;35;15;Disponible
M13;Lote 131;230,11;Lote Premium (Oasis);39119;3;57;Disponible
M13;Lote 132;229,44;Lote Premium (Oasis);39005;1;63;Disponible
M13;Lote 133;228,94;Lote Premium (Oasis);38920;1;70;Disponible
M13;Lote 134;229,10;Lote Premium (Oasis);38947;1;78;Disponible
M13;Lote 135;229,10;Lote Premium (Oasis);38947;1;87;Disponible
M13;Lote 136;229,42;Lote Premium (Oasis);39001;3;97;Disponible
M13;Lote 137;230,10;Lote Premium (Oasis);39117;5;107;Separado
M14;Lote 138;230,01;Lote Premium (Oasis);39102;8;122;Disponible
M14;Lote 139;232,13;Lote Premium (Oasis);39462;8;133;Disponible
M14;Lote 140;232,44;Lote Premium (Oasis);39515;8;144;Disponible
M14;Lote 141;232,75;Lote Premium (Oasis);39568;8;145;Disponible
M14;Lote 142;233,07;Lote Premium (Oasis);39622;8;145;Disponible
M14;Lote 143;233,39;Lote Premium (Oasis);39676;8;145;Disponible
M14;Lote 144;233,71;Lote Premium (Oasis);39731;8;145;Disponible
M14;Lote 145;234,02;Lote Premium (Oasis);39783;8;145;Disponible
M14;Lote 146;234,33;Lote Premium (Oasis);39836;8;145;Disponible
M14;Lote 147;234,64;Lote Premium (Oasis);39889;9;133;Disponible
M15;Lote 148;244,74;Lote Premium (Oasis);41606;8;116;Disponible
M15;Lote 149;244,53;Lote Premium (Oasis);41570;6;103;Disponible
M15;Lote 150;243,68;Lote Premium (Oasis);41426;4;91;Vendido
M15;Lote 151;242,92;Lote Premium (Oasis);41296;3;78;Disponible
M15;Lote 152;242,60;Lote Premium (Oasis);41242;3;65;Disponible
M15;Lote 153;242,25;Lote Premium (Oasis);41182;3;53;Separado
M15;Lote 154;242,20;Lote Premium (Oasis);41174;3;40;Disponible
M15;Lote 155;242,49;Lote Premium (Oasis);41223;4;28;Disponible
M15;Lote 156;243,17;Lote Premium (Oasis);41339;5;15;Disponible
M16;Lote 157;229,97;Lote Premium (Oasis);39095;11;39;Disponible
M16;Lote 158;229,39;Lote Premium (Oasis);38996;11;49;Disponible
M16;Lote 159;229,03;Lote Premium (Oasis);38935;10;59;Disponible
M16;Lote 160;229,40;Lote Premium (Oasis);38998;10;71;Disponible
M16;Lote 161;229,63;Lote Premium (Oasis);39037;11;82;Disponible
M16;Lote 162;230,19;Lote Premium (Oasis);39132;11;94;Disponible
M16;Lote 163;231,06;Lote Premium (Oasis);39280;12;106;Disponible
M17;Lote 164;230,91;Lote Premium (Oasis);39255;13;123;Disponible
M17;Lote 165;232,43;Lote Premium (Oasis);39513;14;135;Disponible
M17;Lote 166;232,74;Lote Premium (Oasis);39566;14;145;Disponible
M17;Lote 167;233,05;Lote Premium (Oasis);39618;14;145;Disponible
M17;Lote 168;233,36;Lote Premium (Oasis);39671;14;145;Disponible
M17;Lote 169;233,69;Lote Premium (Oasis);39727;14;145;Disponible
M17;Lote 170;234,00;Lote Premium (Oasis);39780;14;145;Disponible
M17;Lote 171;234,32;Lote Premium (Oasis);39834;14;145;Disponible
M17;Lote 172;234,63;Lote Premium (Oasis);39887;14;145;Disponible
M17;Lote 173;234,94;Lote Premium (Oasis);39940;14;133;Disponible
M18;Lote 174;244,83;Lote Premium (Oasis);41621;14;116;Disponible
M18;Lote 175;244,47;Lote Premium (Oasis);41560;13;103;Disponible
M18;Lote 176;243,65;Lote Premium (Oasis);41420;12;91;Disponible
M18;Lote 177;242,98;Lote Premium (Oasis);41307;11;78;Disponible
M18;Lote 178;242,79;Lote Premium (Oasis);41274;11;65;Disponible
M18;Lote 179;242,64;Lote Premium (Oasis);41249;11;53;Disponible
M18;Lote 180;242,83;Lote Premium (Oasis);41281;11;40;Disponible
M18;Lote 181;243,38;Lote Premium (Oasis);41375;11;28;Disponible
M18;Lote 182;244,28;Lote Premium (Oasis);41528;12;15;Disponible
M19;Lote 183;229,90;Lote Estándar;27588;38;26;Disponible
M19;Lote 184;229,38;Lote Estándar;27526;38;38;Disponible
M19;Lote 185;229,10;Lote Estándar;27492;37;50;Disponible
M19;Lote 186;229,56;Lote Estándar;27547;37;63;Disponible
M19;Lote 187;229,90;Lote Estándar;27588;37;75;Disponible
M19;Lote 188;230,56;Lote Estándar;27667;38;87;Disponible
M19;Lote 189;231,52;Lote Estándar;27782;38;99;Disponible
M20;Lote 190;231,34;Lote Zen;27761;40;117;Disponible
M20;Lote 191;232,59;Lote Zen;27911;41;129;Disponible
M20;Lote 192;232,90;Lote Zen;27948;41;141;Disponible
M20;Lote 193;233,21;Lote Zen;27985;41;145;Disponible
M20;Lote 194;233,52;Lote Zen;28022;41;145;Disponible
M20;Lote 195;233,85;Lote Zen;28062;41;145;Disponible
M20;Lote 196;234,16;Lote Zen;28099;41;145;Disponible
M20;Lote 197;234,47;Lote Zen;28136;41;145;Disponible
M20;Lote 198;234,78;Lote Zen;28174;41;145;Disponible
M20;Lote 199;235,10;Lote Zen;28212;41;134;Disponible
M21;Lote 200;244,88;Lote Estándar;29386;42;116;Disponible
M21;Lote 201;244,44;Lote Estándar;29333;41;104;Disponible
M21;Lote 202;243,65;Lote Estándar;29238;40;91;Disponible
M21;Lote 203;243,02;Lote Estándar;29162;39;78;Disponible
M21;Lote 204;242,91;Lote Estándar;29149;38;65;Disponible
M21;Lote 205;242,86;Lote Estándar;29143;38;53;Disponible
M21;Lote 206;243,16;Lote Estándar;29179;38;40;Disponible
M21;Lote 207;243,82;Lote Estándar;29258;39;28;Disponible
M21;Lote 208;244,82;Lote Estándar;29378;39;15;Disponible
M22;Lote 209;114,93;Lote Tiny House;13792;61;26;Disponible
M22;Lote 210;114,69;Lote Tiny House;13763;60;36;Disponible
M22;Lote 211;114,58;Lote Tiny House;13750;59;47;Disponible
M22;Lote 212;114,85;Lote Tiny House;13782;59;58;Disponible
M22;Lote 213;115,06;Lote Tiny House;13807;59;70;Disponible
M22;Lote 214;115,43;Lote Tiny House;13852;60;82;Disponible
M22;Lote 215;115,95;Lote Tiny House;13914;60;94;Disponible
